"","topic","language","term","platform","done"
"48","La Palma intensifies","jp","ラパルマが激化","youtube","True"
"49","La Palma intensifies","jp","ラパルマが激化","dailymotion","True"
"50","La Palma intensifies","id","La Palma mengintensifkan","youtube","True"
"51","La Palma intensifies","id","La Palma mengintensifkan","dailymotion","True"
"52","COP26 climate conference","en","COP26 climate conference","youtube","True"
"53","COP26 climate conference","en","COP26 climate conference","dailymotion","True"
"54","COP26 climate conference","zh-cn","COP26气候大会","youtube","True"
"55","COP26 climate conference","zh-cn","COP26气候大会","dailymotion","True"
"56","COP26 climate conference","hi","COP26 जलवायु सम्मेलन","youtube","True"
"57","COP26 climate conference","hi","COP26 जलवायु सम्मेलन","dailymotion","True"
"58","COP26 climate conference","es","Conferencia climática COP26","youtube","True"
"59","COP26 climate conference","es","Conferencia climática COP26","dailymotion","True"
"60","COP26 climate conference","ar","مؤتمر المناخ COP26","youtube","True"
"61","COP26 climate conference","ar","مؤتمر المناخ COP26","dailymotion","True"
"62","COP26 climate conference","bn","COP26 জলবায়ু সম্মেলন","youtube","True"
"63","COP26 climate conference","bn","COP26 জলবায়ু সম্মেলন","dailymotion","True"
"64","COP26 climate conference","fr","Conférence sur le climat COP26","youtube","True"
"65","COP26 climate conference","fr","Conférence sur le climat COP26","dailymotion","True"
"66","COP26 climate conference","ru","Конференция по климату COP26","youtube","True"
"67","COP26 climate conference","ru","Конференция по климату COP26","dailymotion","True"
"68","COP26 climate conference","pt","Conferência do clima COP26","youtube","True"
"69","COP26 climate conference","pt","Conferência do clima COP26","dailymotion","True"
"70","COP26 climate conference","ur","COP26 آب و ہوا کانفرنس","youtube","True"
"71","COP26 climate conference","ur","COP26 آب و ہوا کانفرنس","dailymotion","True"
"72","COP26 climate conference","de","Klimakonferenz COP26","youtube","True"
"73","COP26 climate conference","de","Klimakonferenz COP26","dailymotion","True"
"74","COP26 climate conference","jp","COP26気候会議","youtube","True"
"75","COP26 climate conference","jp","COP26気候会議","dailymotion","True"
"76","COP26 climate conference","id","Konferensi iklim COP26","youtube","True"
"77","COP26 climate conference","id","Konferensi iklim COP26","dailymotion","True"
"78","Covid booster jab","en","Covid booster jab","youtube","True"
"79","Covid booster jab","en","Covid booster jab","dailymotion","True"
"80","Covid booster jab","zh-cn","Covid 助推器","youtube","True"
"81","Covid booster jab","zh-cn","Covid 助推器","dailymotion","True"
"82","Covid booster jab","hi","कोविड बूस्टर जब","youtube","True"
"83","Covid booster jab","hi","कोविड बूस्टर जब","dailymotion","True"
"84","Covid booster jab","es","Covid booster jab","youtube","True"
"85","Covid booster jab","es","Covid booster jab","dailymotion","True"
"86","Covid booster jab","ar","كوفيد داعم بالحقن","youtube","True"
"87","Covid booster jab","ar","كوفيد داعم بالحقن","dailymotion","True"
"88","Covid booster jab","bn","কোভিড বুস্টার জাব","youtube","True"
"89","Covid booster jab","bn","কোভিড বুস্টার জাব","dailymotion","True"
"90","Covid booster jab","fr","jab de rappel de covid","youtube","True"
"91","Covid booster jab","fr","jab de rappel de covid","dailymotion","True"
"92","Covid booster jab","ru","Укол ракеты-носителя Covid","youtube","True"
"93","Covid booster jab","ru","Укол ракеты-носителя Covid","dailymotion","True"
"94","Covid booster jab","pt","Covid booster jab","youtube","True"
"95","Covid booster jab","pt","Covid booster jab","dailymotion","True"
"96","Covid booster jab","ur","کوویڈ بوسٹر جب۔","youtube","True"
"97","Covid booster jab","ur","کوویڈ بوسٹر جب۔","dailymotion","True"
"98","Covid booster jab","de","Covid-Booster-Jab","youtube","True"
"99","Covid booster jab","de","Covid-Booster-Jab","dailymotion","True"
"100","Covid booster jab","jp","Covidブースタージャブ","youtube","True"
"101","Covid booster jab","jp","Covidブースタージャブ","dailymotion","True"
"102","Covid booster jab","id","jab penambah covid","youtube","True"
"103","Covid booster jab","id","jab penambah covid","dailymotion","True"
"104","Child vaccine","en","Child vaccine","youtube","True"
"105","Child vaccine","en","Child vaccine","dailymotion","True"
"106","Child vaccine","zh-cn","儿童疫苗","youtube","True"
"107","Child vaccine","zh-cn","儿童疫苗","dailymotion","True"
"108","Child vaccine","hi","बाल टीका","youtube","True"
"109","Child vaccine","hi","बाल टीका","dailymotion","True"
"110","Child vaccine","es","Vacuna infantil","youtube","True"
"111","Child vaccine","es","Vacuna infantil","dailymotion","True"
"112","Child vaccine","ar","لقاح الطفل","youtube","True"
"113","Child vaccine","ar","لقاح الطفل","dailymotion","True"
"114","Child vaccine","bn","শিশু টিকা","youtube","True"
"115","Child vaccine","bn","শিশু টিকা","dailymotion","True"
"116","Child vaccine","fr","Vaccin enfant","youtube","True"
"117","Child vaccine","fr","Vaccin enfant","dailymotion","True"
"118","Child vaccine","ru","Детская вакцина","youtube","True"
"119","Child vaccine","ru","Детская вакцина","dailymotion","True"
"120","Child vaccine","pt","Vacina infantil","youtube","True"
"121","Child vaccine","pt","Vacina infantil","dailymotion","True"
"122","Child vaccine","ur","بچوں کی ویکسین۔","youtube","True"
"123","Child vaccine","ur","بچوں کی ویکسین۔","dailymotion","True"
"124","Child vaccine","de","Kinderimpfstoff","youtube","True"
"125","Child vaccine","de","Kinderimpfstoff","dailymotion","True"
"126","Child vaccine","jp","子供のワクチン","youtube","True"
"127","Child vaccine","jp","子供のワクチン","dailymotion","True"
"128","Child vaccine","id","Vaksin anak","youtube","True"
"129","Child vaccine","id","Vaksin anak","dailymotion","True"
"130","Global wildfires","en","Global wildfires","youtube","True"
"131","Global wildfires","en","Global wildfires","dailymotion","True"
"132","Global wildfires","zh-cn","全球野火","youtube","True"
"133","Global wildfires","zh-cn","全球野火","dailymotion","True"
"134","Global wildfires","hi","वैश्विक जंगल की आग","youtube","True"
"135","Global wildfires","hi","वैश्विक जंगल की आग","dailymotion","True"
"136","Global wildfires","es","Incendios forestales globales","youtube","True"
"137","Global wildfires","es","Incendios forestales globales","dailymotion","True"
"138","Global wildfires","ar","حرائق الغابات العالمية","youtube","True"
"139","Global wildfires","ar","حرائق الغابات العالمية","dailymotion","True"
"140","Global wildfires","bn","বৈশ্বিক দাবানল","youtube","True"
"141","Global wildfires","bn","বৈশ্বিক দাবানল","dailymotion","True"
"142","Global wildfires","fr","Feux de forêt mondiaux","youtube","True"
"143","Global wildfires","fr","Feux de forêt mondiaux","dailymotion","True"
"144","Global wildfires","ru","Глобальные лесные пожары","youtube","True"
"145","Global wildfires","ru","Глобальные лесные пожары","dailymotion","True"
"146","Global wildfires","pt","Incêndios florestais globais","youtube","True"
"147","Global wildfires","pt","Incêndios florestais globais","dailymotion","True"
"148","Global wildfires","ur","عالمی جنگل کی آگ۔","youtube","True"
"149","Global wildfires","ur","عالمی جنگل کی آگ۔","dailymotion","True"
"150","Global wildfires","de","Globale Waldbrände","youtube","True"
"151","Global wildfires","de","Globale Waldbrände","dailymotion","True"
"152","Global wildfires","jp","世界的な山火事","youtube","True"
"153","Global wildfires","jp","世界的な山火事","dailymotion","True"
"154","Global wildfires","id","Kebakaran hutan global","youtube","True"
"155","Global wildfires","id","Kebakaran hutan global","dailymotion","True"
"156","Oldest footprints in America","en","Oldest footprints in America","youtube","True"
"157","Oldest footprints in America","en","Oldest footprints in America","dailymotion","True"
"158","Oldest footprints in America","zh-cn","美国最古老的脚印","youtube","True"
"159","Oldest footprints in America","zh-cn","美国最古老的脚印","dailymotion","True"
"160","Oldest footprints in America","hi","अमेरिका में सबसे पुराने पैरों के निशान","youtube","True"
"161","Oldest footprints in America","hi","अमेरिका में सबसे पुराने पैरों के निशान","dailymotion","True"
"162","Oldest footprints in America","es","Huellas más antiguas de América","youtube","True"
"163","Oldest footprints in America","es","Huellas más antiguas de América","dailymotion","True"
"164","Oldest footprints in America","ar","اقدم اثار اقدام في امريكا","youtube","True"
"165","Oldest footprints in America","ar","اقدم اثار اقدام في امريكا","dailymotion","True"
"166","Oldest footprints in America","bn","আমেরিকার প্রাচীনতম পায়ের ছাপ","youtube","True"
"167","Oldest footprints in America","bn","আমেরিকার প্রাচীনতম পায়ের ছাপ","dailymotion","True"
"168","Oldest footprints in America","fr","Les empreintes les plus anciennes d'Amérique","youtube","True"
"169","Oldest footprints in America","fr","Les empreintes les plus anciennes d'Amérique","dailymotion","True"
"170","Oldest footprints in America","ru","Самые старые следы в Америке","youtube","True"
"171","Oldest footprints in America","ru","Самые старые следы в Америке","dailymotion","True"
"172","Oldest footprints in America","pt","Pegadas mais antigas na América","youtube","True"
"173","Oldest footprints in America","pt","Pegadas mais antigas na América","dailymotion","True"
"174","Oldest footprints in America","ur","امریکہ میں قدیم ترین نشانات","youtube","True"
"175","Oldest footprints in America","ur","امریکہ میں قدیم ترین نشانات","dailymotion","True"
"176","Oldest footprints in America","de","Älteste Fußabdrücke in Amerika","youtube","True"
"177","Oldest footprints in America","de","Älteste Fußabdrücke in Amerika","dailymotion","True"
"178","Oldest footprints in America","jp","アメリカで最も古い足跡","youtube","True"
"179","Oldest footprints in America","jp","アメリカで最も古い足跡","dailymotion","True"
"180","Oldest footprints in America","id","Jejak kaki tertua di Amerika","youtube","True"
"181","Oldest footprints in America","id","Jejak kaki tertua di Amerika","dailymotion","True"
"182","African ankylosaur","en","African ankylosaur","youtube","True"
"183","African ankylosaur","en","African ankylosaur","dailymotion","True"
"184","African ankylosaur","zh-cn","非洲甲龙","youtube","True"
"185","African ankylosaur","zh-cn","非洲甲龙","dailymotion","True"
"186","African ankylosaur","hi","अफ्रीकी एंकिलोसॉर","youtube","True"
"187","African ankylosaur","hi","अफ्रीकी एंकिलोसॉर","dailymotion","True"
"188","African ankylosaur","es","Anquilosaurio africano","youtube","True"
"189","African ankylosaur","es","Anquilosaurio africano","dailymotion","True"
"190","African ankylosaur","ar","أنكيلوصور أفريقي","youtube","True"
"191","African ankylosaur","ar","أنكيلوصور أفريقي","dailymotion","True"
"192","African ankylosaur","bn","আফ্রিকান অ্যানকাইলোসর","youtube","True"
"193","African ankylosaur","bn","আফ্রিকান অ্যানকাইলোসর","dailymotion","True"
"194","African ankylosaur","fr","Ankylosaure africain","youtube","True"
"195","African ankylosaur","fr","Ankylosaure africain","dailymotion","True"
"196","African ankylosaur","ru","Африканский анкилозавр","youtube","True"
"197","African ankylosaur","ru","Африканский анкилозавр","dailymotion","True"
"198","African ankylosaur","pt","Anquilossauro africano","youtube","True"
"199","African ankylosaur","pt","Anquilossauro africano","dailymotion","True"
"200","African ankylosaur","ur","افریقی اینکیلوسور۔","youtube","True"
"201","African ankylosaur","ur","افریقی اینکیلوسور۔","dailymotion","True"
"202","African ankylosaur","de","Afrikanischer Ankylosaurier","youtube","True"
"203","African ankylosaur","de","Afrikanischer Ankylosaurier","dailymotion","True"
"204","African ankylosaur","jp","アフリカのアンキロサウルス","youtube","True"
"205","African ankylosaur","jp","アフリカのアンキロサウルス","dailymotion","True"
"206","African ankylosaur","id","ankilosaurus Afrika","youtube","True"
"207","African ankylosaur","id","ankilosaurus Afrika","dailymotion","True"
"208","Fuego volcano erupts","en","Fuego volcano erupts","youtube","True"
"209","Fuego volcano erupts","en","Fuego volcano erupts","dailymotion","True"
"210","Fuego volcano erupts","zh-cn","Fuego火山喷发","youtube","True"
"211","Fuego volcano erupts","zh-cn","Fuego火山喷发","dailymotion","True"
"212","Fuego volcano erupts","hi","फुएगो ज्वालामुखी फूटता है","youtube","True"
"213","Fuego volcano erupts","hi","फुएगो ज्वालामुखी फूटता है","dailymotion","True"
"214","Fuego volcano erupts","es","Volcán de fuego entra en erupción","youtube","True"
"215","Fuego volcano erupts","es","Volcán de fuego entra en erupción","dailymotion","True"
"216","Fuego volcano erupts","ar","ثوران بركان فويغو","youtube","True"
"217","Fuego volcano erupts","ar","ثوران بركان فويغو","dailymotion","True"
"218","Fuego volcano erupts","bn","ফুয়েগো আগ্নেয়গিরি বিস্ফোরিত হয়","youtube","True"
"219","Fuego volcano erupts","bn","ফুয়েগো আগ্নেয়গিরি বিস্ফোরিত হয়","dailymotion","True"
"220","Fuego volcano erupts","fr","Le volcan Fuego entre en éruption","youtube","True"
"221","Fuego volcano erupts","fr","Le volcan Fuego entre en éruption","dailymotion","True"
"222","Fuego volcano erupts","ru","Извержение вулкана Фуэго","youtube","True"
"223","Fuego volcano erupts","ru","Извержение вулкана Фуэго","dailymotion","True"
"224","Fuego volcano erupts","pt","Vulcão Fuego entra em erupção","youtube","True"
"225","Fuego volcano erupts","pt","Vulcão Fuego entra em erupção","dailymotion","True"
"226","Fuego volcano erupts","ur","فیوگو آتش فشاں پھٹ گیا۔","youtube","True"
"227","Fuego volcano erupts","ur","فیوگو آتش فشاں پھٹ گیا۔","dailymotion","True"
"228","Fuego volcano erupts","de","Vulkan Fuego bricht aus","youtube","True"
"229","Fuego volcano erupts","de","Vulkan Fuego bricht aus","dailymotion","True"
"230","Fuego volcano erupts","jp","フエゴ火山が噴火","youtube","True"
"231","Fuego volcano erupts","jp","フエゴ火山が噴火","dailymotion","True"
"232","Fuego volcano erupts","id","Gunung berapi Fuego meletus","youtube","True"
"233","Fuego volcano erupts","id","Gunung berapi Fuego meletus","dailymotion","True"
"234","Edible insects","en","Edible insects","youtube","True"
"235","Edible insects","en","Edible insects","dailymotion","True"
"236","Edible insects","zh-cn","食用昆虫","youtube","True"
"237","Edible insects","zh-cn","食用昆虫","dailymotion","True"
"238","Edible insects","hi","खाने योग्य कीड़े","youtube","True"
"239","Edible insects","hi","खाने योग्य कीड़े","dailymotion","True"
"240","Edible insects","es","Insectos comestibles","youtube","True"
"241","Edible insects","es","Insectos comestibles","dailymotion","True"
"242","Edible insects","ar","حشرات صالحة للأكل","youtube","True"
"243","Edible insects","ar","حشرات صالحة للأكل","dailymotion","True"
"244","Edible insects","bn","ভোজ্য পোকামাকড়","youtube","True"
"245","Edible insects","bn","ভোজ্য পোকামাকড়","dailymotion","True"
"246","Edible insects","fr","Insectes comestibles","youtube","True"
"247","Edible insects","fr","Insectes comestibles","dailymotion","True"
"248","Edible insects","ru","Съедобные насекомые","youtube","True"
"249","Edible insects","ru","Съедобные насекомые","dailymotion","True"
"250","Edible insects","pt","Insetos comestíveis","youtube","True"
"251","Edible insects","pt","Insetos comestíveis","dailymotion","True"
"252","Edible insects","ur","خوردنی کیڑے۔","youtube","True"
"253","Edible insects","ur","خوردنی کیڑے۔","dailymotion","True"
"254","Edible insects","de","Essbare Insekten","youtube","True"
"255","Edible insects","de","Essbare Insekten","dailymotion","True"
"256","Edible insects","jp","食用昆虫","youtube","True"
"257","Edible insects","jp","食用昆虫","dailymotion","True"
"258","Edible insects","id","Serangga yang bisa dimakan","youtube","True"
"259","Edible insects","id","Serangga yang bisa dimakan","dailymotion","True"
"260","Titanokorys gainesi fossil","en","Titanokorys gainesi fossil","youtube","True"
"261","Titanokorys gainesi fossil","en","Titanokorys gainesi fossil","dailymotion","True"
"262","Titanokorys gainesi fossil","zh-cn","Titanokorys Gainesi 化石","youtube","True"
"263","Titanokorys gainesi fossil","zh-cn","Titanokorys Gainesi 化石","dailymotion","True"
"264","Titanokorys gainesi fossil","hi","टाइटेनोकोरिस गेनेसी फॉसिल","youtube","True"
"265","Titanokorys gainesi fossil","hi","टाइटेनोकोरिस गेनेसी फॉसिल","dailymotion","True"
"266","Titanokorys gainesi fossil","es","Titanokorys gainesi fósil","youtube","True"
"267","Titanokorys gainesi fossil","es","Titanokorys gainesi fósil","dailymotion","True"
"268","Titanokorys gainesi fossil","ar","أحفورة تيتانوكوريز","youtube","True"
"269","Titanokorys gainesi fossil","ar","أحفورة تيتانوكوريز","dailymotion","True"
"270","Titanokorys gainesi fossil","bn","টাইটানোকোরিস জীবাশ্ম লাভ করে","youtube","True"
"271","Titanokorys gainesi fossil","bn","টাইটানোকোরিস জীবাশ্ম লাভ করে","dailymotion","True"
"272","Titanokorys gainesi fossil","fr","Fossile de Titanokorys gainesi","youtube","True"
"273","Titanokorys gainesi fossil","fr","Fossile de Titanokorys gainesi","dailymotion","True"
"274","Titanokorys gainesi fossil","ru","Окаменелость Titanokorys Gainesi","youtube","True"
"275","Titanokorys gainesi fossil","ru","Окаменелость Titanokorys Gainesi","dailymotion","True"
"276","Titanokorys gainesi fossil","pt","Fóssil de Titanokorys gainesi","youtube","True"
"277","Titanokorys gainesi fossil","pt","Fóssil de Titanokorys gainesi","dailymotion","True"
"278","Titanokorys gainesi fossil","ur","Titanokorys حاصل شدہ جیواشم","youtube","True"
"279","Titanokorys gainesi fossil","ur","Titanokorys حاصل شدہ جیواشم","dailymotion","True"
"280","Titanokorys gainesi fossil","de","Titanokorys Gainesi Fossil","youtube","True"
"281","Titanokorys gainesi fossil","de","Titanokorys Gainesi Fossil","dailymotion","True"
"282","Titanokorys gainesi fossil","jp","ティタノコリスゲインシ化石","youtube","True"
"283","Titanokorys gainesi fossil","jp","ティタノコリスゲインシ化石","dailymotion","True"
"284","Titanokorys gainesi fossil","id","Fosil Titanokorys gainesi","youtube","True"
"285","Titanokorys gainesi fossil","id","Fosil Titanokorys gainesi","dailymotion","True"
"286","Severe water shortage","en","Severe water shortage","youtube","True"
"287","Severe water shortage","en","Severe water shortage","dailymotion","True"
"288","Severe water shortage","zh-cn","严重缺水","youtube","True"
"289","Severe water shortage","zh-cn","严重缺水","dailymotion","True"
"290","Severe water shortage","hi","पानी की भारी कमी","youtube","True"
"291","Severe water shortage","hi","पानी की भारी कमी","dailymotion","True"
"292","Severe water shortage","es","Grave escasez de agua","youtube","True"
"293","Severe water shortage","es","Grave escasez de agua","dailymotion","True"
"294","Severe water shortage","ar","نقص حاد في المياه","youtube","True"
"295","Severe water shortage","ar","نقص حاد في المياه","dailymotion","True"
"296","Severe water shortage","bn","পানির তীব্র সংকট","youtube","True"
"297","Severe water shortage","bn","পানির তীব্র সংকট","dailymotion","True"
"298","Severe water shortage","fr","Grave pénurie d'eau","youtube","True"
"299","Severe water shortage","fr","Grave pénurie d'eau","dailymotion","True"
"300","Severe water shortage","ru","Острая нехватка воды","youtube","True"
"301","Severe water shortage","ru","Острая нехватка воды","dailymotion","True"
"302","Severe water shortage","pt","Grave falta de água","youtube","True"
"303","Severe water shortage","pt","Grave falta de água","dailymotion","True"
"304","Severe water shortage","ur","پانی کی شدید قلت۔","youtube","True"
"305","Severe water shortage","ur","پانی کی شدید قلت۔","dailymotion","True"
"306","Severe water shortage","de","Schwerer Wassermangel","youtube","True"
"307","Severe water shortage","de","Schwerer Wassermangel","dailymotion","True"
"308","Severe water shortage","jp","深刻な水不足","youtube","True"
"309","Severe water shortage","jp","深刻な水不足","dailymotion","True"
"310","Severe water shortage","id","Kekurangan air yang parah","youtube","True"
"311","Severe water shortage","id","Kekurangan air yang parah","dailymotion","True"
"312","Migrating birds crash into NYC skyscrapers","en","Migrating birds crash into NYC skyscrapers","youtube","True"
"313","Migrating birds crash into NYC skyscrapers","en","Migrating birds crash into NYC skyscrapers","dailymotion","True"
"314","Migrating birds crash into NYC skyscrapers","zh-cn","候鸟撞上纽约摩天大楼","youtube","True"
"315","Migrating birds crash into NYC skyscrapers","zh-cn","候鸟撞上纽约摩天大楼","dailymotion","True"
"316","Migrating birds crash into NYC skyscrapers","hi","प्रवासी पक्षी NYC गगनचुंबी इमारतों में दुर्घटनाग्रस्त हो जाते हैं","youtube","True"
"317","Migrating birds crash into NYC skyscrapers","hi","प्रवासी पक्षी NYC गगनचुंबी इमारतों में दुर्घटनाग्रस्त हो जाते हैं","dailymotion","True"
"318","Migrating birds crash into NYC skyscrapers","es","Las aves migratorias chocan contra los rascacielos de Nueva York","youtube","True"
"319","Migrating birds crash into NYC skyscrapers","es","Las aves migratorias chocan contra los rascacielos de Nueva York","dailymotion","True"
"320","Migrating birds crash into NYC skyscrapers","ar","الطيور المهاجرة تصطدم بناطحات السحاب في مدينة نيويورك","youtube","True"
"321","Migrating birds crash into NYC skyscrapers","ar","الطيور المهاجرة تصطدم بناطحات السحاب في مدينة نيويورك","dailymotion","True"
"322","Migrating birds crash into NYC skyscrapers","bn","অভিবাসী পাখি NYC এর আকাশচুম্বী ভবনে আছড়ে পড়ে","youtube","True"
"323","Migrating birds crash into NYC skyscrapers","bn","অভিবাসী পাখি NYC এর আকাশচুম্বী ভবনে আছড়ে পড়ে","dailymotion","True"
"324","Migrating birds crash into NYC skyscrapers","fr","Des oiseaux migrateurs s'écrasent sur les gratte-ciel de New York","youtube","True"
"325","Migrating birds crash into NYC skyscrapers","fr","Des oiseaux migrateurs s'écrasent sur les gratte-ciel de New York","dailymotion","True"
"326","Migrating birds crash into NYC skyscrapers","ru","Перелетные птицы врезаются в небоскребы Нью-Йорка","youtube","True"
"327","Migrating birds crash into NYC skyscrapers","ru","Перелетные птицы врезаются в небоскребы Нью-Йорка","dailymotion","True"
"328","Migrating birds crash into NYC skyscrapers","pt","Pássaros em migração caem em arranha-céus de Nova York","youtube","True"
"329","Migrating birds crash into NYC skyscrapers","pt","Pássaros em migração caem em arranha-céus de Nova York","dailymotion","True"
"330","Migrating birds crash into NYC skyscrapers","ur","ہجرت کرنے والے پرندے نیویارک کے فلک بوس عمارتوں سے ٹکرا گئے۔","youtube","True"
"331","Migrating birds crash into NYC skyscrapers","ur","ہجرت کرنے والے پرندے نیویارک کے فلک بوس عمارتوں سے ٹکرا گئے۔","dailymotion","True"
"332","Migrating birds crash into NYC skyscrapers","de","Zugvögel stürzen in NYC-Wolkenkratzer","youtube","True"
"333","Migrating birds crash into NYC skyscrapers","de","Zugvögel stürzen in NYC-Wolkenkratzer","dailymotion","True"
"334","Migrating birds crash into NYC skyscrapers","jp","渡り鳥がニューヨークの高層ビルに激突","youtube","True"
"335","Migrating birds crash into NYC skyscrapers","jp","渡り鳥がニューヨークの高層ビルに激突","dailymotion","True"
"336","Migrating birds crash into NYC skyscrapers","id","Burung yang bermigrasi menabrak gedung pencakar langit NYC","youtube","True"
"337","Migrating birds crash into NYC skyscrapers","id","Burung yang bermigrasi menabrak gedung pencakar langit NYC","dailymotion","True"
"338","Largest tree forest fire","en","Largest tree forest fire","youtube","True"
"339","Largest tree forest fire","en","Largest tree forest fire","dailymotion","True"
"340","Largest tree forest fire","zh-cn","最大的树木森林火灾","youtube","True"
"341","Largest tree forest fire","zh-cn","最大的树木森林火灾","dailymotion","True"
"342","Largest tree forest fire","hi","सबसे बड़ा पेड़ जंगल की आग","youtube","True"
"343","Largest tree forest fire","hi","सबसे बड़ा पेड़ जंगल की आग","dailymotion","True"
"344","Largest tree forest fire","es","El incendio forestal más grande del árbol","youtube","True"
"345","Largest tree forest fire","es","El incendio forestal más grande del árbol","dailymotion","True"
"346","Largest tree forest fire","ar","أكبر حريق غابات الأشجار","youtube","True"
"347","Largest tree forest fire","ar","أكبر حريق غابات الأشجار","dailymotion","True"
"348","Largest tree forest fire","bn","সবচেয়ে বড় গাছে বনে আগুন","youtube","True"
"349","Largest tree forest fire","bn","সবচেয়ে বড় গাছে বনে আগুন","dailymotion","True"
"350","Largest tree forest fire","fr","Le plus grand feu de forêt d'arbres","youtube","True"
"351","Largest tree forest fire","fr","Le plus grand feu de forêt d'arbres","dailymotion","True"
"352","Largest tree forest fire","ru","Крупнейший лесной пожар на дереве","youtube","True"
"353","Largest tree forest fire","ru","Крупнейший лесной пожар на дереве","dailymotion","True"
"354","Largest tree forest fire","pt","Maior incêndio florestal","youtube","True"
"355","Largest tree forest fire","pt","Maior incêndio florestal","dailymotion","True"
"356","Largest tree forest fire","ur","درختوں کے جنگل کی سب سے بڑی آگ۔","youtube","True"
"357","Largest tree forest fire","ur","درختوں کے جنگل کی سب سے بڑی آگ۔","dailymotion","True"
"358","Largest tree forest fire","de","Größter Baumwaldbrand","youtube","True"
"359","Largest tree forest fire","de","Größter Baumwaldbrand","dailymotion","True"
"360","Largest tree forest fire","jp","最大の木の森林火災","youtube","True"
"361","Largest tree forest fire","jp","最大の木の森林火災","dailymotion","True"
"362","Largest tree forest fire","id","Kebakaran hutan pohon terbesar","youtube","True"
"363","Largest tree forest fire","id","Kebakaran hutan pohon terbesar","dailymotion","True"
"364","Flash flood warning","en","Flash flood warning","youtube","True"
"365","Flash flood warning","en","Flash flood warning","dailymotion","True"
